ANNO_ACCADEMICO;ATENEO_CODICE;ATENEO_NOME;ATENEO_REGIONE;GENERE;STUDENTI
2015;101;Torino;Piemonte;F;33134
2015;101;Torino;Piemonte;M;20694
2015;101;Torino;Piemonte;F;6708
2015;101;Torino;Piemonte;M;4350
2015;102;Torino Politecnico;Piemonte;F;7231
2015;102;Torino Politecnico;Piemonte;M;17814
2015;102;Torino Politecnico;Piemonte;F;1379
2015;102;Torino Politecnico;Piemonte;M;3759
2015;201;Piemonte Orientale;Piemonte;F;4996
2015;201;Piemonte Orientale;Piemonte;M;3268
2015;201;Piemonte Orientale;Piemonte;F;1630
2015;201;Piemonte Orientale;Piemonte;M;994
2015;401;Bra - Scienze Gastronomiche;Piemonte;F;115
2015;401;Bra - Scienze Gastronomiche;Piemonte;M;97
2015;401;Bra - Scienze Gastronomiche;Piemonte;F;32
2015;401;Bra - Scienze Gastronomiche;Piemonte;M;37
2015;701;Aosta;Valle d'Aosta;F;659
2015;701;Aosta;Valle d'Aosta;M;243
2015;701;Aosta;Valle d'Aosta;F;145
2015;701;Aosta;Valle d'Aosta;M;69
2015;1001;Genova;Liguria;F;14361
2015;1001;Genova;Liguria;M;11716
2015;1001;Genova;Liguria;F;2746
2015;1001;Genova;Liguria;M;2403
2015;1201;Castellanza LIUC;Lombardia;F;582
2015;1201;Castellanza LIUC;Lombardia;M;1020
2015;1201;Castellanza LIUC;Lombardia;F;106
2015;1201;Castellanza LIUC;Lombardia;M;230
2015;1202;Insubria;Lombardia;F;3878
2015;1202;Insubria;Lombardia;M;3145
2015;1202;Insubria;Lombardia;F;1000
2015;1202;Insubria;Lombardia;M;854
2015;1301;Novedrate e-Campus;Lombardia;F;3366
2015;1301;Novedrate e-Campus;Lombardia;M;3538
2015;1301;Novedrate e-Campus;Lombardia;F;472
2015;1301;Novedrate e-Campus;Lombardia;M;464
2015;1501;Milano;Lombardia;F;29042
2015;1501;Milano;Lombardia;M;20474
2015;1501;Milano;Lombardia;F;6330
2015;1501;Milano;Lombardia;M;4288
2015;1502;Milano Politecnico;Lombardia;F;11345
2015;1502;Milano Politecnico;Lombardia;M;22819
2015;1502;Milano Politecnico;Lombardia;F;2153
2015;1502;Milano Politecnico;Lombardia;M;4792
2015;1503;Milano Bocconi;Lombardia;F;5142
2015;1503;Milano Bocconi;Lombardia;M;5471
2015;1503;Milano Bocconi;Lombardia;F;1136
2015;1503;Milano Bocconi;Lombardia;M;1466
2015;1504;Milano Cattolica;Lombardia;F;18975
2015;1504;Milano Cattolica;Lombardia;M;10601
2015;1504;Milano Cattolica;Lombardia;F;4430
2015;1504;Milano Cattolica;Lombardia;M;2516
2015;1505;Milano IULM;Lombardia;F;2428
2015;1505;Milano IULM;Lombardia;M;1007
2015;1505;Milano IULM;Lombardia;F;880
2015;1505;Milano IULM;Lombardia;M;339
2015;1508;Milano San Raffaele;Lombardia;F;1120
2015;1508;Milano San Raffaele;Lombardia;M;773
2015;1508;Milano San Raffaele;Lombardia;F;247
2015;1508;Milano San Raffaele;Lombardia;M;172
2015;1509;Milano Bicocca;Lombardia;F;16354
2015;1509;Milano Bicocca;Lombardia;M;10160
2015;1509;Milano Bicocca;Lombardia;F;3194
2015;1509;Milano Bicocca;Lombardia;M;2149
2015;1510;Rozzano (MI) Humanitas University;Lombardia;F;128
2015;1510;Rozzano (MI) Humanitas University;Lombardia;M;72
2015;1510;Rozzano (MI) Humanitas University;Lombardia;F;86
2015;1510;Rozzano (MI) Humanitas University;Lombardia;M;57
2015;1601;Bergamo;Lombardia;F;7818
2015;1601;Bergamo;Lombardia;M;4705
2015;1601;Bergamo;Lombardia;F;2006
2015;1601;Bergamo;Lombardia;M;1085
2015;1701;Brescia;Lombardia;F;5404
2015;1701;Brescia;Lombardia;M;6227
2015;1701;Brescia;Lombardia;F;1094
2015;1701;Brescia;Lombardia;M;1224
2015;1801;Pavia;Lombardia;F;9562
2015;1801;Pavia;Lombardia;M;7740
2015;1801;Pavia;Lombardia;F;2098
2015;1801;Pavia;Lombardia;M;1618
2015;2101;Bolzano;Trentino-Alto Adige;F;1670
2015;2101;Bolzano;Trentino-Alto Adige;M;787
2015;2101;Bolzano;Trentino-Alto Adige;F;405
2015;2101;Bolzano;Trentino-Alto Adige;M;170
2015;2201;Trento;Trentino-Alto Adige;F;6804
2015;2201;Trento;Trentino-Alto Adige;M;6638
2015;2201;Trento;Trentino-Alto Adige;F;1435
2015;2201;Trento;Trentino-Alto Adige;M;1329
2015;2301;Verona;Veneto;F;11744
